L CaS(30),L FG(37),R FG(37),L IPL(40),R SupraMarginal(40),R MTG(37),L SupraMarginal(22),R PCC(23),R IPL(40),L PCU(7),R PCU(23),L PCC(23),R MFG(9),R SFG(8),L STG(48),L MFG(9),R ACC(32),R TP(38),L (para)Hipp(20),R MPFG(10),L MPFG(10)
1093.69,1121.12,1137.75,1030.11,1030.47,1023.91,1046.31,1098.12,1163.12,1124.64,1060.44,1113.55,1040.72,1067.4,1052.49,992.71,1067.32,1135.76,1085.8,903.49,963.1
1094.45,1121.91,1136.89,1030.57,1030.03,1023.04,1046.59,1099.11,1162.87,1129.62,1059.12,1110.26,1041.05,1068.71,1052.83,995.25,1066.83,1134.19,1084.19,905.21,963.17
1093.47,1120.86,1137.78,1029.7,1030.83,1023.85,1047.25,1099.19,1162.38,1127.91,1060.86,1113.69,1040.08,1066.98,1049.28,994.21,1066.05,1133.25,1085.58,904.57,963.53
1092.76,1123.57,1138.36,1030.09,1030.7,1023.79,1048.17,1100.71,1163.1,1126.49,1061.1,1111.91,1040.65,1066.05,1051.36,993.94,1067.71,1136.81,1085.96,904.04,962.32
1094.48,1121.97,1137.48,1031.1,1030.61,1024.7,1047.58,1100.85,1162.64,1130.68,1062.58,1112.7,1040.09,1066.61,1054.23,993.85,1067.89,1137.41,1087.06,903.44,963.03
1094.27,1121.65,1138.91,1031.4,1030.35,1025.68,1047.16,1099.02,1161.6,1126.14,1058.27,1110.75,1039.42,1064.96,1049.44,992.19,1064.28,1132.8,1085.74,902.18,960.43
1097.16,1122.32,1138.81,1033.24,1032.13,1026.74,1048.46,1102.26,1164.54,1130.48,1060.81,1114.97,1039.59,1065.49,1053.36,991.46,1066.83,1136.68,1085.07,903.82,961.1
1090.95,1119.86,1135.33,1031.73,1030.79,1023.67,1046.21,1100.55,1163.63,1128.75,1058.44,1110.47,1039.02,1064.73,1049.94,991.1,1064.04,1134.63,1083.91,901.68,959.48
1091.8,1120.39,1136.67,1031.31,1031.09,1023.79,1046.52,1100.75,1163.03,1127.7,1060.15,1114.38,1039.67,1064.74,1050.2,993.07,1063.56,1136.83,1085.14,900.99,959.05
1093.88,1119.9,1137.09,1030.18,1028.83,1023.47,1045.99,1100.11,1162.35,1126.8,1058.23,1110.31,1039.14,1066.85,1050.37,992.72,1064.49,1139.3,1085.13,902.33,959.45
1093.49,1120.64,1138.27,1029.95,1029.25,1023.17,1045.47,1099.85,1163.25,1125.53,1059.53,1114.08,1038.63,1065.66,1052.31,992.3,1065.41,1132.02,1083.79,903.26,961.06
1092.21,1119.43,1136.58,1030.82,1030.44,1023.35,1047.97,1099.53,1163.64,1127.08,1061.27,1108.43,1039.58,1065.96,1053.6,992.36,1065.97,1133.72,1083.99,903.14,960.66
1093.62,1120.16,1137.33,1030.89,1029.59,1022.57,1046.9,1101.45,1162.57,1128.1,1061.66,1112.48,1039.96,1067.44,1050.67,994.44,1064.66,1133.24,1084.43,901.68,961.64
1091.04,1120.65,1137.46,1031.18,1029.41,1020.15,1047.24,1098.76,1161.9,1126.55,1058.03,1109.34,1040.53,1066.71,1052.35,994.45,1065.98,1133,1084.43,900.32,959.43
1092.27,1119.81,1135.56,1031.76,1029.23,1020.57,1047.76,1100.21,1159.34,1125.11,1060.19,1109.92,1040.89,1064.47,1050.67,994.1,1063.69,1137.2,1085.08,901.73,960.86
1093.17,1120.09,1134.76,1028.6,1027.23,1018.92,1045.5,1097.95,1157.66,1121.83,1059.96,1108.72,1039.68,1063.79,1049.74,993.57,1061.64,1134.07,1084.44,901.78,959.48
1094.3,1119.63,1135.96,1029.37,1029.01,1020.76,1046.1,1097.56,1159.24,1121.99,1060.53,1109.19,1039.05,1062.41,1052.38,992.21,1064.5,1129.81,1083.59,902.32,961.28
1095.76,1121.11,1136.27,1030.72,1027.98,1022.99,1046.33,1097.03,1160.53,1124.71,1059.71,1108.64,1040.23,1063.89,1052.35,994.71,1065.02,1133.18,1085.67,903.01,961.8
1095.9,1119.95,1136.13,1030.58,1027.78,1023.63,1046.34,1098.29,1159.53,1127.79,1061.31,1107.64,1040.14,1063.37,1049.89,992.23,1066.57,1131.66,1085.1,901.71,961.08
1091.12,1119.55,1135.58,1030.55,1026.68,1021.32,1045.94,1097.61,1157.53,1124.32,1057.22,1108.74,1039.1,1063.95,1048.41,992.46,1067.47,1131.82,1083.74,900.68,959.76
1087.37,1120.2,1134.66,1029.61,1027.77,1020.36,1046.27,1093.89,1157.24,1120.52,1054.79,1102.57,1038.72,1061.25,1050.13,990.5,1067.08,1130.73,1083.94,900.15,959.46
1092.03,1118.07,1135.7,1030.59,1029.03,1022.97,1047.6,1097.94,1158.43,1122.9,1055.84,1107.4,1037.47,1063.06,1050.69,990.64,1066.85,1134.86,1085.68,899.74,960.31
